Size,Time_sec,Operations,Status
10,1.818e-06,1000,PASSED
50,9.4522e-05,125000,PASSED
100,0.000645677,1000000,PASSED
200,0.00712607,8000000,PASSED
400,0.0464829,64000000,PASSED
600,0.143333,216000000,PASSED
800,0.410811,512000000,PASSED
1000,0.995115,1000000000,PASSED
